time,north_bering_sst,south_bering_sst,west_aleutians_sst,central_aleutians_sst,east_aleutians_sst,west_gulf_sst,central_gulf_sst,east_gulf_sst,north_bering_sst_stdev,south_bering_sst_stdev,west_aleutian_sst_stdev,central_aleutian_sst_stdev,east_aleutians_sst_stdev,west_gulf_sst_stdev,central_gulf_sst_stdev,east_gulf_sst_stdev,north_bering_sst_n,south_bering_sst_n,west_aleutian_sst_n,central_aleutian_sst_n,east_aleutian_sst_n,west_gulf_sst_n,central_gulf_sst_n,east_gulf_sst_n
UTC,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,,,,,,,,
1981-09-16T00:00:00Z,8.467217,9.489801,10.376219,10.36705,10.498693,10.765192,10.830621,12.412395,1.6443871,0.85107225,0.7192427,1.0025225,1.1187134,0.62346745,0.89271164,0.724267,30434,16904,17256,13338,16276,17379,27162,18886
1981-10-17T00:00:00Z,5.986695,7.337625,8.829859,8.676277,8.465689,9.015348,9.052213,10.901439,1.8645184,0.94540066,0.9233351,1.2098024,1.1562076,0.7057244,0.9180165,0.8153065,17394,16603,15813,13523,16882,18487,28949,19654
1981-11-16T00:00:00Z,1.4981898,5.083241,6.7207155,6.1040483,5.9723873,6.285578,6.4952655,8.253141,1.5981987,0.8158987,1.0087192,1.305767,0.98662287,0.92113304,0.85076296,1.297237,23722,14477,11892,8890,15415,11047,19420,14129
1981-12-17T00:00:00Z,1.1511722,3.4970036,4.77291,4.4261823,4.7779207,5.019428,5.0748954,6.956377,1.5094649,1.1971037,0.70679545,0.68193215,0.6057089,0.5800437,0.71071017,1.0198537,21781,15692,10838,15226,16836,12164,29763,20955
1982-01-17T00:00:00Z,0.5620415,2.579921,3.3559313,3.7000844,3.9274697,4.008072,4.743601,5.690225,1.2584584,1.4846781,0.9301348,0.9041754,0.6803845,0.6905804,0.85528725,0.87146574,17482,21504,4655,4972,12540,11047,24993,20182
1982-02-15T00:00:00Z,0.6574059,2.452994,3.3369107,3.150386,3.125306,3.5616581,3.644169,4.8405094,1.3657943,1.372952,0.6787782,0.7294471,0.5557847,0.65642047,0.56305873,0.89450437,29151,30376,19448,20432,25040,24382,35463,29555
1982-03-17T00:00:00Z,-0.17018306,1.2953731,2.9603143,3.3881216,3.679147,3.4869833,3.5296614,4.619392,1.1615884,1.706601,0.5784703,0.59763026,0.5222239,0.46327728,0.6636727,0.84167475,16934,16620,7926,10732,12229,19282,25332,24019
1982-04-16T00:00:00Z,-0.37197593,1.3129104,3.1175466,3.309367,3.58077,3.3166885,3.378157,4.8618765,1.2101923,1.4868276,0.85188544,0.5958029,0.7589836,0.6539999,0.76925296,0.92645967,21514,16252,5164,12418,8740,15036,26802,27061
1982-05-17T00:00:00Z,0.027926367,0.4759399,3.530942,3.7452946,3.9993675,3.612342,4.6151657,6.147264,1.3409894,1.4957408,0.7406085,0.9322094,0.7872503,0.9354947,1.1785735,0.99851966,21349,8985,7495,4550,7716,6247,22098,12478
