image,alt,category_title,project_name,modal_id,caption,partners,description,funding,homepage_url,project_href
images/ecocast.png,EcoCast,Dynamic Ocean Management,EcoCast,modal-ecocast,The blue shark is a protected species included in the EcoCast fisheries sustainability tool.,"San Diego State University, UC Santa Cruz, University of Maryland, Old Dominion University, Stanford University, and NOAA SWFSC Environmental Research Division.",CoastWatch West Coast Node (WCN) provides satellite data products and a web presence to the EcoCast project. EcoCast is a real-time tool to help fishers and managers allocate fishing effort to optimize the harvest of target fish while minimizing bycatch of protected species. WCN also serves the EcoCast products via ERDDAP.,"NASA EcoForecasting and Applied Science program (NNH12ZDA001N-ECOF) with additional support from California SeaGrant, NOAA Bycatch Reduction Engineering Program, NOAA West Coast Regional Office, NOAA Integrated Ecosystem Assessment program, Stanford’s Center for Ocean Solutions, and NOAA CoastWatch.",,projects/ecocast/index.qmd
images/loggerhead_turtles.png,Turtles,Turtle Conservation,Loggerhead Turtles Bycatch,modal-turtle,A Loggerhead turtle swimming in the waters off Southern California.,"UC Santa Cruz, NOAA Southwest Fisheries Science Center, Stanford University, ant the University of Maryland.",The TOTAL (Temperature Observations To Avoid Loggerheads) project uses satellite-based environmental indicators within a dynamic ocean management framework to deliver a tool that helps minimize loggerhead bycatch without causing undue impact on the industry. The CoastWatch West Coast Node provides satellite data products and a web presence for the project.,"NOAA Fisheries Bycatch Reduction Engineering Program (grant number NA16NMF4720278), with support from NOAA Southwest Fisheries Science Center and NOAA CoastWatch.",https://madrichardson.github.io/turtlewatch/,
images/whalewatch.png,WhaleWatch Image,Blue Whale Conservation,WhaleWatch 2.0,modal-whalewatch,A blue whale surfacing in the waters off the California coast within the California Current Ecosystem.,"A consortium of scientists, managers, and members of the shipping industry. The WhaleWatch 2.0 team is scientists from University of California Santa Cruz and Oregon State University and NOAA's Environmental Resource Division.","The WhaleWatch 2.0 project produces a daily map product that is a predictive spatial management tool to categorize suitable blue whale habitat within the California Current Ecosystem. The map identifies where whales are most likely to be each day based on current environmental conditions, such as ocean temperature and productivity.",The Benioff Ocean Initiative.,,projects/whalewatch/index.qmd
images/sardine_habitat.png,Sardine Potential Habitat Image,Habitat Modeling,Sardine Potential Habitat,modal-sardine,Maps of potential sardine habitat (left) and sea surface temperature maps (right).,NOAA's Southwest Fisheries Science Center.,"CoastWatch West Coast Node is operationalizing the Pacific sardines predictive habitat model. The model characterizes the relationships between the occurrence of the northern stock of Pacific sardine and the species' preferred habitat, as determine from environment factors measured with satellites. The predicted habitat can be used to schedule the time and location of ship and aerial surveys to create an optimal sampling strategy.",NOAA CoastWatch.,https://coastwatch.pfeg.noaa.gov/erddap/griddap/sardine_habitat_viirs.graph?potential_habitat%5B(2023-04-04T12:00:00Z)%5D%5B(50.98125):(27.01875)%5D%5B(-129.99375):(-113.00625)%5D&.draw=surface&.vars=longitude%7Clatitude%7Cpotential_habitat&.colorBar=%7C%7C%7C%7C%7C&.bgColor=0xffccccff,
images/productivity.png,NetPP Image,Primary Productivity ,VIIRS Interim Products,modal-netpp,Global primary productivity from the VIIRS-SNPP netPP product.,"NOAA CoastWatch Nodes, NOAA Southeast Fisheries Science Center, and NOAA National Marine Fisheries Service.","NOAA CoastWatch developed interim primary productivity products to bridge the gap created by the upcoming retirement of the MODIS-Aqua sensor, which has supported the legacy global product since 2007. These interim products, driven by VIIRS-SNPP and VIIRS-NOAA20 data using the established VPGM algorithm, provide continuity for users until the next generation of primary productivity products is available.","The project was supported by funding from the Portfolio Management Branch of NESDIS, NOAA CoastWatch, and CSU COAST.",https://coastwatch-wcn.github.io/primary_productivity/,
images/polarwatch.png,PolarWatch Image,Polar Regions Satellite Data,PolarWatch,modal-polarwatch,Sea Ice Cover in the Arctic and the Antarctic.,"The Alaska Fisheries Science Center (AFSC), the National Ice Center, the National Snow and Ice Center, CoastWatch West Coast Node and Central Office, and the NOAA SWFSC Environmental Research and Fisheries Antarctic Ecosystem Research Divisions.","PolarWatch extends the CoastWatch program by providing high-latitude satellite observation data to governmental, academic, commercial, and public users in support of broad applications in the Arctic and Southern Oceans.",NOAA CoastWatch.,https://polarwatch.noaa.gov/,
images/poc.png,Particulate Organic Carbon Image,POC Algorithm Development,Particulate Organic Carbon,modal-poc,Global POC distribution generated with a potential new algorithm for the SeaWiFS sensor.,UC San Diego's Scripps Institution of Oceanography.,"Particulate organic carbon (POC) is a standard global product that is generated for many ocean color sensors. The POC algorithm used as of 2020 is over a decade old and was validated with only limited in situ observations. CoastWatch West Coast Node is supporting the work of researchers from Scripps Institution of Oceanography to develop updated POC algorithms for the SeaWiFS, MODIS, and VIIRS ocean color satellites.","NASA Science of TERRA, AQUA, and SUOMI NPP program (80NSSC18K0956) with support from NOAA CoastWatch.",https://oceanoptics.ucsd.edu/,
images/ocean_modeling.png,WCOFS Image,Ocean Modeling,Advancing WCOFS Modeling,modal-oceanmodeling,WCOFS model output for bathymetry (left) and the model grid (right).,"UC Santa Cruz, NOAA National Environmental Satellite Data and Information Service, NOAA National Marine Fisheries Service, NOAA Coast Survey Development Lab, Northwest Association of Networked Ocean Observing System, and Central & Northern California Ocean Observing System.","CoastWatch West Coast Node is a member of a research group working to transition established ecological products that are generated using ocean model output, such as the California-Harmful Algae Risk Mapping (C-HARM) products, to use output from the WCOFS model.","U.S. IOOS Coastal and Ocean Modeling Testbed (COMT) program, with support from NOAA CoastWatch.",https://comt.ioos.us/projects/wcofs_advancement,
images/charm.png,C-HARM Image,Harmful Algal Blooms,C-HARM HABs Forecast,modal-charm,The probability of Pseudo-nitzschia (left) and Cellular Domoic Acid (right) occurrence of the California coast.,"Central & Northern California Ocean Observing System, Southern California Coastal Ocean Observing System, UC Santa Cruz, UC Los Angeles, RSS Inc, and NOAA National Ocean Service.","The CoastWatch West Coast Node operationalized the C-HARM harmful algal bloom (HAB) products, which predict the occurrences of Pseudo-nitzschia and the domoic acid toxin using sophisticated circulation models, satellite remote-sensing data, and statistical models.","National Aeronautics and Space Administration (NNX13AL28G, NNX14AC42G), US IOOS Coastal Ocean Modeling Testbed (COMT), NOAA ECOHAB, and the Packard Foundation with support from NOAA CoastWatch.",https://habs.sccoos.org/hab-forecast,
images/fishstock.png,Fisheries Stock Assessment Image,Fisheries Stock Assessment,Alaska Stock Assessment Tool,modal-fishstock,Fisheries management regions in the Bering Sea and the Gulf of Alaska.,NOAA Alaska Fisheries Science Center and CoastWatch West Coast Node.,"CoastWatch West Coast Node has created satellite indices for the Alaskan Fishery Management areas to be used in the Ecosystem and Socioeconomic Profiles (ESP), which are submitted as part of the annual Stock Assessment and Fishery Evaluation (SAFE) Reports.",NOAA Alaska Fisheries Science Center and CoastWatch West Coast Node.,,projects/afsc-stock-assessment/AFSC-Stock-Assessment-Tool.qmd
