datasetID,label,category
nesdisVHNsstDaily,"SST, NOAA-SNPP VIIRS, Near Real-Time, Global, Level 3, 0.0375°, 2020-present, EXPERIMENTAL, Daily",SST
erdMH1sstd1day_R2022NRTMasked,"SST, AQUA_MODIS, Masked, R2022 NRT, NASA GSFC OBPG, Global, 0.04166°, 2019-present, Daily",SST
erdMH1sstd1day_R2022SQMasked,"SST, AQUA_MODIS, Masked, R2022 SQ, NASA GSFC OBPG, Global, 0.04166°, 2019-present, Daily",SST
erdMH1sstd8day_R2022SQMasked,"SST, AQUA_MODIS, Masked, R2022 SQ, NASA GSFC OBPG, Global, 0.04166°, 2019-present, 8 Day",SST
erdMH1sstdmday_R2022SQMasked,"SST, AQUA_MODIS, Masked, R2022 SQ, NASA GSFC OBPG, Global, 0.04166°, 2019-present, Monthly",SST
noaacwLEOACSPOSSTL3SCDaily,"Sea-Surface Temperature, NOAA ACSPO Daily Global 0.02° Gridded Super-collated SST and Thermal Fronts Reanalysis, 2012-present, Daily (L3S-LEO Kelvin)",SST
jplMURSST41,"Multi-scale Ultra-high Resolution (MUR) SST Analysis fv04.1, Global, 0.01°, 2002-present, Daily",SST
jplMURSST41mday,"Multi-scale Ultra-high Resolution (MUR) SST Analysis fv04.1, Global, 0.01°, 2002-present, Monthly",SST
jplMURSST41anom1day,"Multi-scale Ultra-high Resolution (MUR) SST Analysis Anomaly fv04.1, Global, 0.01°, 2002-present, Daily",SST
jplMURSST41anommday,"Multi-scale Ultra-high Resolution (MUR) SST Analysis Anomaly fv04.1, Global, 0.01°, 2002-present, Monthly",SST
NOAA_DHW_monthly,"SST and SST Anomaly, NOAA Global Coral Bleaching Monitoring, 5km, V.3.1, Monthly, 1985-Present",SST
NOAA_DHW_monthly,"SST and SST Anomaly, NOAA Global Coral Bleaching Monitoring, 5km, V.3.1, Monthly, 1985-Present",SST
nceiPH53sstn1day,"AVHRR Pathfinder Version 5.3 L3-Collated (L3C) SST, Global, 0.0417°, 1981-present, Nighttime (1 Day Composite)",SST
erdPH53sstn8day,"SST, Pathfinder Ver 5.3 (L3C), Night, Global, 0.0417°, 1981-present, Science Quality (8 Day Composite)",SST
erdPH53sstnmday,"SST, Pathfinder Ver 5.3 (L3C), Night, Global, 0.0417°, 1981-present, Science Quality (Monthly Composite)",SST
nceiPH53sstd1day,"AVHRR Pathfinder Version 5.3 L3-Collated (L3C) SST, Global, 0.0417°, 1981-present, Daytime (1 Day Composite)",SST
erdPH53sstd8day,"SST, Pathfinder Ver 5.3 (L3C), Day, Global, 0.0417°, 1981-present, Science Quality (8 Day Composite)",SST
erdPH53sstdmday,"SST, Pathfinder Ver 5.3 (L3C), Day, Global, 0.0417°, 1981-present, Science Quality (Monthly Composite)",SST
ncdcOisst21Agg,"SST, Daily Optimum Interpolation (OI), AVHRR Only, Version 2.1, Final, Global, 0.25°, 1981-present",SST
ncdcOisst21Agg,"SST, Daily Optimum Interpolation (OI), AVHRR Only, Version 2.1, Final, Global, 0.25°, 1981-present",SST
ncdcOisst21NrtAgg,"SST, Daily Optimum Interpolation (OI), AVHRR Only, Version 2.1, Preliminary, Global, 0.25°, 2020-present",SST
ncdcOisst21NrtAgg,"SST, Daily Optimum Interpolation (OI), AVHRR Only, Version 2.1, Preliminary, Global, 0.25°, 2020-present",SST
erdVHsstaWS3day,VIIRS SST Day and Night 3 Day Composite,SST
erdMWsstd1day,"SST, Aqua MODIS, NPP, 0.0125°, West US, Day time (11 microns), 2002-present (1 Day Composite)",SST
erdMWsstd3day,"SST, Aqua MODIS, NPP, 0.0125°, West US, Day time (11 microns), 2002-present (3 Day Composite)",SST
erdMWsstd8day,"SST, Aqua MODIS, NPP, 0.0125°, West US, Day time (11 microns), 2002-present (8 Day Composite)",SST
erdMWsstd14day,"SST, Aqua MODIS, NPP, 0.0125°, West US, Day time (11 microns), 2002-present (14 Day Composite)",SST
erdMWsstdmday,"SST, Aqua MODIS, NPP, 0.0125°, West US, Day time (11 microns), 2002-present (Monthly Composite)",SST
goes_west,"Sea-Surface Temperature, Fronts, NOAA GOES-West (G-18), Hourly, NRT, 0.02 degree (~2 km)",SST
nesdisVHNSQchlaDaily,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Daily",Ocean Color
nesdisVHNSQchlaWeekly,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Weekly",Ocean Color
nesdisVHNSQchlaMonthly,"Chlorophyll, NOAA S-NPP VIIRS, Science Quality, Global 4km, Level 3, 2012-present, Monthly",Ocean Color
nesdisVHNchlaDaily,"Chlorophyll, NOAA S-NPP VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present, Daily",Ocean Color
nesdisVHNchlaWeekly,"Chlorophyll, NOAA S-NPP VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present, Weekly",Ocean Color
nesdisVHNnoaa20chlaDaily,"Chlorophyll, NOAA NOAA-20 VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present, Daily",Ocean Color
nesdisVHNnoaa20chlaDaily_Lon0360,"Chlorophyll, NOAA NOAA-20 VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present, Daily, Lon0360",Ocean Color
nesdisVHNnoaa20chlaWeekly,"Chlorophyll, NOAA NOAA-20 VIIRS, Near Real-Time, Global 4km, Level 3, 2017-present, Weekly",Ocean Color
